question,document
How do I get the 75th percentile from a Pandas DataFrame column?,b4c8ac5a0c
What's the Pandas way to calculate a quantile for a Series?,b4c8ac5a0c
How can I compute the 0.75 quantile in pandas?,b4c8ac5a0c
Is there a simple method to find a column's percentile value in a DataFrame?,b4c8ac5a0c
How do I use Pandas to return the 75% percentile of one column?,b4c8ac5a0c
"How do I wipe out every Docker container from the terminal, even the ones still running?",66ccbb7da0
What command can I use to force-remove all Docker images at once?,66ccbb7da0
Is there a quick way to delete every Docker volume using the terminal?,66ccbb7da0
"How can I clean up Docker completely by removing containers, images, and volumes in one go?",66ccbb7da0
What are the terminal commands to reset Docker resources and clear out everything?,66ccbb7da0
How can I make sure a user can give feedback only once per submission in Streamlit?,2e729f1271
Why does my `st.session.submitted` keep getting set back to True after clicking a feedback button?,2e729f1271
"When I use an ask button, how do I disable the feedback buttons unless the session says the submission is active?",2e729f1271
What is the fix for a Streamlit session attribute being reassigned after one feedback action?,2e729f1271
Is there a known solution for `st.session.submitted` changing unexpectedly when handling +1 or -1 feedback?,2e729f1271
Why does docker-compose say `streamlit` is not found in `$PATH` even though the app works outside Docker?,e8df9f0d12
What do I need to add so my Streamlit app can start correctly when I run it with docker-compose?,e8df9f0d12
"Do I need a Dockerfile for a Streamlit app, and how do I fix this container startup error?",e8df9f0d12
"How can I rebuild my docker-compose app after getting an `exec: ""streamlit""` not found error?",e8df9f0d12
What’s the proper way to make a Streamlit container run with docker-compose instead of failing at startup?,e8df9f0d12
Is the capstone supposed to be done individually or can it be a group project?,0fab61eca2
Can I work with other students on the capstone as long as we split the tasks?,0fab61eca2
"If we build one shared system, does each person still need their own separate project for the capstone?",0fab61eca2
Is it okay to discuss a bigger project idea with classmates and then submit separate capstone projects?,0fab61eca2
"What counts as an acceptable shared project setup for the capstone, if any?",0fab61eca2
"Do I need to turn in two capstone projects, or is one enough?",d5fc98925d
What do attempt 1 and attempt 2 mean for the project submission window?,d5fc98925d
"If my first capstone submission gets rejected, can I fix it and send it again later?",d5fc98925d
"Can I submit a second project just for practice, and if so does it have to be a different dataset and problem?",d5fc98925d
"If I miss the first submission deadline, can I still join in for the second one and get certified?",d5fc98925d
"Can I treat the competition as my capstone project, or are they separate things?",e892d44e42
"If I join the math-kaggle-llm-competition with teammates, does that replace the individual capstone?",e892d44e42
Is the capstone project supposed to be done alone even if the competition allows groups?,e892d44e42
"Do teams in the competition count toward the capstone requirement, or is capstone always individual?",e892d44e42
"I’m a bit confused: can the competition be used as the capstone, or do I still need an individual submission?",e892d44e42
How will my capstone project be graded in the course?,9a2e2d2008
Who reviews the project I submit for the capstone?,9a2e2d2008
Do I also have to review other students’ capstone projects?,9a2e2d2008
What happens if I skip the peer grading requirement for capstone?,9a2e2d2008
How is the final score for the capstone project calculated?,9a2e2d2008
"After the deadline passes, how do we get the projects we need to review or grade?",eae0fb50aa
"Will there be an Excel sheet with the assigned projects, or is it done some other way?",eae0fb50aa
How many projects will each participant be assigned for review after submissions close?,eae0fb50aa
"When exactly are the review/grading assignments shared, before or after the submission deadline?",eae0fb50aa
"Do we get three projects each to evaluate, and if so, how are they distributed?",eae0fb50aa
"I already turned in my capstone project, so why am I still not seeing anything to review?",a8a7fef016
When do the review projects get assigned after submission closes?,a8a7fef016
"Can I pick which projects I want to evaluate, or is that decided for me?",a8a7fef016
Is there any way to start reviewing before the assigned list is out?,a8a7fef016
I submitted on time — does that mean I should automatically have projects to check now?,a8a7fef016
Where can I find project ideas and datasets for the capstone project?,e76a70cde3
Is there a GitHub page with some dataset suggestions for this project?,e76a70cde3
"Do you have a link with ideas, datasets, and tips for the capstone project?",e76a70cde3
Where should I look if I need inspiration for the project and data to use?,e76a70cde3
Is there a page that lists possible project ideas plus guidelines?,e76a70cde3
"Do I have to use Airflow, Mage, or Kestra for the capstone project ingestion pipeline?",d4f7c08ea1
Can I get full points on the ingestion pipeline part if I just use a regular Python script?,d4f7c08ea1
"Is a Jupyter notebook enough for the capstone data ingestion steps, or do I lose points?",d4f7c08ea1
When would it make sense to add an orchestrator to the capstone project instead of plain Python?,d4f7c08ea1
"Should I use an orchestration tool just to satisfy the capstone rubric, or only if my project really needs it?",d4f7c08ea1
How can I test a recommender-style RAG when I don’t have a normal question-answer dataset?,9b0e2d6a47
What’s a good way to create synthetic ground truth for evaluating retrieval in a recommendation system?,9b0e2d6a47
"Can I use an LLM to judge the quality of my RAG results, and how would that work?",9b0e2d6a47
"For ranking tasks with multiple acceptable items, should I use hit rate or NDCG?",9b0e2d6a47
"How do I measure whether my retriever is putting the right items near the top, not just finding them somewhere in the list?",9b0e2d6a47
What's the best way to chunk a big PDF corpus without overthinking it first?,6f2a8b3d10
Should I start with fixed-size chunks or try some smarter splitting for long docs?,6f2a8b3d10
Would it make sense to add a short summary to every chunk for retrieval?,6f2a8b3d10
"For legal or financial documents, is hybrid search better than plain semantic search?",6f2a8b3d10
What tools do you recommend for turning PDFs into cleaner markdown before chunking?,6f2a8b3d10
"What does reproducibility actually mean for the capstone project, and do I need to give reviewers my API keys?",e5d8a2c761
How should I set up my repo so someone can clone it and rebuild the search index from scratch?,e5d8a2c761
"Should I upload real credential files, or is a .env.example with variable names enough?",e5d8a2c761
"Do reviewers need access to my hosted-service secrets, or should they use their own keys when running the project?",e5d8a2c761
What do I need to pin or document so the project runs the same way on another machine?,e5d8a2c761
"Can I submit the homework in a language other than Python, like JavaScript or Go, or do I need to stick with Python?",ea815eb858
"If I build my capstone project with Rust, Java, or another non-Python stack, is that allowed or will it get rejected?",ea815eb858
What do I need to include in the README if I choose a language other than Python for the project?,ea815eb858
How detailed should the setup and run instructions be for a non-Python homework submission so the reviewer can test it easily?,ea815eb858
"If I use something like Go instead of Python, what kind of commands and environment notes should I provide in the submission?",ea815eb858
Where do I look for past LLM Zoomcamp capstone projects?,930286278d
Is there a place to browse older project submissions from the course?,930286278d
Can you share links to previous LLM Zoomcamp projects for reference?,930286278d
I want to see what kind of capstone projects people submitted before — where can I find them?,930286278d
Are there any public pages with LLM Zoomcamp project repos from 2024 or 2025?,930286278d
Do I need to reserve my capstone idea before I start working on it?,897a350476
Should I announce my project topic somewhere before building it?,897a350476
"Can I ask for feedback on my project idea in Slack, or do I need approval first?",897a350476
"Is it okay if my capstone topic is similar to a previous project, or does it have to be completely unique?",897a350476
Where can I look at past LLM Zoomcamp projects to get a sense of the expected scope?,897a350476
Can I build my capstone as a Telegram or WhatsApp bot instead of a website?,7318a90b14
"Is a web app required for the project, or can I use any user interface I want?",7318a90b14
"Would a CLI, Slack app, or notebook be acceptable as the project front end?",7318a90b14
"Are there rules about how the project should be exposed to users, or is it up to me?",7318a90b14
"Does the course show how to create these interfaces, or do I need to handle that myself?",7318a90b14
"What are good tools to pull text out of PDFs for a RAG app, especially if the docs are messy or scanned?",d8b28c47a0
"Do we need to use a specific PDF extraction library in the capstone, or can we choose whatever works best?",d8b28c47a0
Which OCR option should I use if my PDFs are just images and don’t have selectable text?,d8b28c47a0
Is there a way to convert PDFs into Markdown or structured JSON for retrieval projects?,d8b28c47a0
What’s the best tool to try first for document extraction before chunking the text for RAG?,d8b28c47a0
"Can I reuse the workshop content in my own capstone project, or is it only for the class?",d850a0e7ea
"Is it okay to use dlt from this workshop in another Zoomcamp project, like MLOps?",d850a0e7ea
"Since dlt is open source, can I build on the workshop material for my own work?",d850a0e7ea
Are we allowed to take the workshop examples and apply them in personal projects?,d850a0e7ea
"If I have questions while using dlt in my project, can I still ask about it?",d850a0e7ea
How do I create a new dlt project for loading data from cloud storage?,6bceeebf04
What command should I run first to initialize a filesystem-to-duckdb dlt setup?,6bceeebf04
I'm starting with dlt and cloud files — what's the init command I need?,6bceeebf04
How can I set up a fresh dlt pipeline from files into DuckDB?,6bceeebf04
Which dlt command do I use to begin a filesystem ingestion project?,6bceeebf04
"Why do I get `Table notion_pages___homework does not exist` when I try `db.open_table(""notion_pages___homework"")`?",0407213397
"What should I check if `db.create_table(..., data)` says the table is missing in the dlt workshop?",0407213397
"I renamed my table to homework, but `db.open_table(""notion_pages___homework"")` still fails—what am I missing?",0407213397
"In the open-source data ingestion workshop, why would the notebook still look for `employee_handbook` after I changed it to `homework`?",0407213397
How do I fix the `FileNotFoundError` for `notion_pages___homework` in my pipeline?,0407213397
Why am I getting FileNotFoundError: table notion_pages___homework does not exist when I run main() in the dlt workshop?,e95bfafc0e
How do I fix the error about db.create_table for notion_pages___homework?,e95bfafc0e
What table name should I open in line 3 if notion_pages___homework is missing?,e95bfafc0e
Is there a wrong table reference in the Open-Source Data Ingestion homework code?,e95bfafc0e
What should db.open_table be set to so the Notion homework runs without that error?,e95bfafc0e
How can I see all the tables in the database?,e394e6f738
Is there a way to list the tables in my db?,e394e6f738
What method do I use to get the table names?,e394e6f738
How do I check which tables were created in the database?,e394e6f738
Can I print out every table name from the db?,e394e6f738
Does dlt already support ClickHouse or StarRocks connectors?,cd19f122f3
Can I use dlt to load data into ClickHouse or StarRocks right now?,cd19f122f3
Are there built-in connectors in dlt for ClickHouse and StarRocks?,cd19f122f3
"If dlt doesn't support ClickHouse or StarRocks, is there a way to add them?",cd19f122f3
Is the lack of ClickHouse and StarRocks connectors in dlt something the community can help with?,cd19f122f3
Why do I keep getting a 401 Unauthorized when my notebook calls the Notion search endpoint?,0dfba07ace
"Could this be a bad or expired Notion API token, and how do I check that?",0dfba07ace
What should I verify first if the notebook says it has no secret access to api.notion.com/v1/search?,0dfba07ace
"Do I need to recheck the Notion API key, endpoint, or app permissions for this error?",0dfba07ace
"If the 401 error still happens after fixing the token, what else in the config should I look at?",0dfba07ace
"Why does pip keep giving me requests 2.28 when lancedb needs 2.32, and how can I force the right version?",4b30b918bc
Is there a way to install requests 2.32.3 straight from GitHub instead of the older one from pip?,4b30b918bc
I’m getting a 401 Client Error while setting this up — does that mean my key is wrong or I need to enable access?,4b30b918bc
What’s the exact command to pull the correct requests release from the source zip?,4b30b918bc
How do I upgrade requests for this workshop so lancedb stops failing on the version mismatch?,4b30b918bc
